Country	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Lithuania	21	24	37	29	59	60	92	90	115	95	101	133	136	136	170	203	176	188	182	136
Croatia	16	23	44	42	53	52	63	76	77	88	91	128	151	134	134	149	159	199	178	130
Jordan	3	6	8	7	17	16	30	25	48	49	51	62	73	71	68	105	112	137	158	113
Oman	3	1	1	3	7	7	7	4	14	19	17	17	33	34	52	58	87	91	110	112
Cyprus	2	3	4	3	4	6	11	17	35	36	35	36	48	65	54	62	63	110	141	104
Lebanon	2	1	8	9	8	14	11	16	20	19	28	28	33	47	51	82	107	76	90	76
Azerbaijan	3	1	5	10	10	12	17	7	19	20	38	52	27	33	36	54	83	92	127	76
Estonia	10	20	22	21	35	26	34	43	45	49	66	72	72	100	124	134	136	144	149	74
Luxembourg	1	1	2	0	4	6	9	5	12	17	36	44	55	67	53	60	88	85	91	69
Philippines	0	0	1	5	7	7	12	6	9	7	18	13	16	34	43	41	1323	90	78	63
Ecuador	0	0	1	0	2	2	1	4	1	2	1	2	1	4	25	37	51	58	84	59
Latvia	12	11	18	20	26	27	36	28	41	44	44	61	74	62	64	113	99	101	94	56
Yemen	0	1	0	0	0	0	0	3	0	1	5	3	12	18	19	17	24	47	52	51
Bahrain	0	0	0	2	4	1	1	7	6	13	14	23	13	28	38	36	50	43	61	50
Sri lanka	1	6	9	8	15	19	18	17	12	10	13	18	24	23	32	42	46	79	72	45
Armenia	8	13	11	20	19	22	22	30	56	38	43	45	51	43	50	73	78	62	61	43
Cuba	29	23	29	19	34	43	41	30	42	38	24	42	48	47	44	46	56	61	57	41
Peru	2	5	3	0	6	9	4	21	9	15	15	7	5	11	19	25	30	35	32	38
Uruguay	0	2	4	1	7	7	9	10	15	16	15	32	29	31	32	45	36	61	55	35
Venezuela	3	19	28	31	19	31	28	32	44	38	43	42	55	48	30	63	43	57	45	35
Moldova	16	15	23	32	30	34	29	25	49	51	51	56	56	42	62	61	79	59	49	35
Cameroon	1	0	0	1	3	5	1	5	6	10	8	9	6	17	11	26	44	39	44	33
Uzbekistan	10	4	10	17	17	12	21	19	19	30	29	34	28	12	28	37	32	40	36	27
Iceland	8	4	7	4	1	6	8	8	15	17	23	19	28	45	40	43	46	43	58	27
North Korea	0	0	0	0	0	0	0	1	3	1	8	2	8	4	5	8	12	15	23	24
Kenya	1	1	2	2	1	1	0	1	1	3	7	6	7	3	6	3	17	27	34	23
Nepal	0	0	0	0	1	1	7	3	4	4	6	11	19	27	26	24	31	17	21	21
Syria	1	4	3	0	1	4	0	7	6	11	15	13	9	13	12	17	22	29	12	18
Bosnia	0	3	0	3	0	1	0	1	2	6	2	4	8	8	8	10	14	16	26	15
Costa rica	0	10	8	0	1	1	2	3	7	4	2	5	6	8	13	12	12	25	21	15
Georgia	0	3	4	7	4	6	3	7	11	12	15	13	13	10	15	27	17	23	21	15
Senegal	1	1	2	5	5	4	5	6	3	10	10	6	6	3	5	13	10	11	19	8
Jamaica	0	3	2	5	4	3	5	5	7	5	1	2	10	4	6	3	5	9	11	7
Zimbabwe	0	0	0	1	0	1	0	1	1	1	0	0	0	1	4	8	8	11	0	7
Tajikistan	1	1	2	0	0	3	2	6	6	3	6	6	10	4	5	15	4	9	3	6
Liechtenstein	0	0	1	5	4	3	6	5	11	4	6	4	4	3	5	7	5	6	10	5
Panama	0	0	0	3	2	4	2	3	3	2	2	12	8	4	7	2	6	8	6	4
Albania	0	0	0	0	0	0	0	1	0	0	1	0	2	3	1	1	7	1	3	4
Paraguay	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	3	2	3
Bolivia	2	3	3	1	2	3	0	1	2	2	0	3	2	3	4	9	12	4	4	3
Afghanistan	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	2
Kyrgyzstan	0	0	2	1	0	1	0	1	0	3	0	7	7	10	6	6	7	4	4	2
Turkmenistan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0
World	16397	22328	26653	31477	37863	45206	52526	58925	68036	73962	82260	95424	102603	115758	128366	142921	152358	163716	173370	122412
